code,name,market_cap,industry
688063,派能科技,157.93774858,
301363,美好医疗,193.64374967,
300718,长盛轴承,258.11520402,
300618,寒锐钴业,157.51194048,
603659,璞泰来,641.13336271,
688698,伟创电气,237.56527914,
600501,航天晨光,125.48083786,
002324,普利特,220.2425771,塑料制品
603040,新坐标,164.56581058,
000880,潍柴重机,177.4221813,
600595,中孚实业,394.37786322,
600988,赤峰黄金,737.7396193,
688012,中微公司,2301.39707588,半导体
688158,优刻得-W,148.80108691,
300496,中科创达,371.81499715,
301219,腾远钴业,222.77671787,
300657,弘信电子,151.76378526,电子元件
300604,长川科技,888.79806221,半导体
601000,唐山港,248.88900179,
002338,奥普光电,148.512,
301275,汉朔科技,276.84096,
300568,星源材质,205.22087245,
688147,微导纳米,357.76582015,
920185,贝特瑞,366.94873025,
600611,大众交通,143.73867013,
300035,中科电气,161.28089569,非金属材料
601992,金隅集团,227.43652515,
300821,东岳硅材,166.32,化学制品
601228,广州港,282.91992566,
300378,鼎捷数智,161.60049403,
301069,凯盛新材,125.03076978,
002882,金龙羽,149.43708,
301238,瑞泰新材,165.43999248,电池
301150,中一科技,108.19700534,电池
600206,有研新材,198.09347969,小金属
688522,纳睿雷达,136.1965249,
601016,节能风电,209.31236268,
603588,高能环境,153.08506293,
300682,朗新科技,208.20733704,
301565,中仑新材,106.842671,
688585,上纬新材,649.77540764,
601777,千里科技,519.92650817,
688068,热景生物,143.35428762,
002945,华林证券,482.22,
002167,东方锆业,112.71496515,
002812,恩捷股份,519.39800845,电池
600775,南京熊猫,138.62930485,
603119,浙江荣泰,443.72904879,
300005,探路者,129.46237025,
300593,新雷能,174.0877587,
601020,华钰矿业,290.26750309,有色金属
000420,吉林化纤,122.69753032,
601900,南方传媒,142.17357915,
300428,立中集团,175.71455203,
688097,博众精工,184.46552695,
688301,奕瑞科技,253.29492361,
300257,开山股份,178.25812223,
601958,金钼股份,643.06225692,
300699,光威复材,359.3934696,
688538,和辉光电-U,388.04519726,
300244,迪安诊断,170.93187575,
300655,晶瑞电材,205.58200176,
002785,万里石,101.14036988,
688631,莱斯信息,123.844872,
600010,包钢股份,1168.44637918,钢铁行业
688027,国盾量子,626.13548529,
600855,航天长峰,102.98569161,
600330,天通股份,168.24045434,非金属材料
603319,美湖股份,131.31875532,
601068,中铝国际,182.55679591,
002466,天齐锂业,1030.67044932,能源金属
600884,杉杉股份,316.04250725,
603132,金徽股份,162.9348,
600759,洲际油气,182.55640832,
002025,航天电器,254.2643291,
300170,汉得信息,276.71690602,
300972,万辰集团,414.61667129,
601778,晶科科技,158.55242837,
600707,彩虹股份,254.77567097,光学光电子
002284,亚太股份,128.89910069,
688019,安集科技,496.9221026,
603236,移远通信,287.10386045,
600662,外服控股,142.4877402,
603077,和邦生物,237.56813623,化学原料
603876,鼎胜新材,155.93103834,有色金属
688439,振华风光,134.68,
600273,嘉化能源,151.0206908,
603906,龙蟠科技,136.12517803,电池
601226,华电科工,112.15458705,
688629,华丰科技,482.79779191,
002046,国机精工,262.6098691,
688180,君实生物-U,372.68842317,
002049,紫光国微,746.98999843,
002906,华阳集团,181.25454486,
603596,伯特利,349.95674314,
688772,珠海冠宇,245.99856132,
002643,万润股份,163.54837467,
300037,新宙邦,437.54268268,
603786,科博达,332.29329276,
301308,江波龙,1567.60329858,半导体
300601,康泰生物,178.37362119,
688611,杭州柯林,101.0837464,
300827,上能电气,227.85386328,
688615,合合信息,429.016,
002246,北化股份,127.48587917,化学制品
688779,五矿新能,190.99271506,
603888,新华网,166.99769658,
300633,开立医疗,125.70295365,
000762,西藏矿业,155.46454314,
000503,国新健康,100.47130363,
000962,东方钽业,196.44268668,
603087,甘李药业,435.01720892,
000737,北方铜业,315.42104164,
002583,海能达,209.86867657,
603638,艾迪精密,189.90379309,
688072,拓荆科技,1061.70153499,半导体
002516,旷达科技,106.34163671,
002173,创新医疗,131.85576438,医疗服务
603778,国晟科技,122.13543432,光伏设备
