code,name,market_cap,industry
688376,美埃科技,103.0422501,
688362,甬矽电子,214.31318996,
301529,福赛科技,127.620615,
688234,天岳先进,538.84735907,
688525,佰维存储,859.5223464,
688403,汇成股份,193.16602401,
301286,侨源股份,213.17328,
300567,精测电子,380.17370913,
301308,江波龙,1481.59468979,
688627,精智达,233.14914992,
688396,华润微,905.37504944,
301550,斯菱智驱,477.305345,
301678,新恒汇,190.54241845,
688387,信科移动-U,677.254375,
300969,恒帅股份,174.7240482,
688584,上海合晶,173.75117597,
688548,广钢气体,290.13573477,
300777,中简科技,200.2867831,
000620,盈新发展,197.29298534,
300953,震裕科技,302.7186406,
002498,汉缆股份,145.0483056,
002208,合肥城建,113.58547381,
600703,三安光电,787.76605699,
601096,宏盛华源,129.20999075,
600058,五矿发展,149.42435311,
603283,赛腾股份,133.22780241,
603056,德邦股份,189.50773829,
002048,宁波华翔,262.1356486,
603626,科森科技,124.4040265,
603216,梦天家居,109.474404,
603061,金海通,133.122,
603929,亚翔集成,348.758256,
600053,九鼎投资,100.1479248,
603986,兆易创新,1954.14754249,
600584,长电科技,865.89771042,
002156,通富微电,711.14591296,
603667,五洲新春,296.95382619,
603179,新泉股份,508.96856665,
001233,海安集团,142.79032585,
002943,宇晶股份,122.49415559,
002028,思源电气,1452.04038351,
002664,信质集团,107.31578,
002796,世嘉科技,109.65343891,
601163,三角轮胎,124.24,
603638,艾迪精密,176.77258989,
600198,大唐电信,158.12710952,
600266,城建发展,142.39600458,
688172,燕东微,521.08060541,
688017,绿的谐波,404.24292563,
300809,华辰装备,103.87501024,
688409,富创精密,273.56870281,
600623,华谊集团,189.99339956,
301338,凯格精机,107.996,
300316,晶盛机电,551.31372854,
688596,正帆科技,105.47541712,
688233,神工股份,136.15943593,
300984,金沃股份,106.03565144,
300342,天银机电,235.8519842,
300757,罗博特科,528.97119832,
688228,开普云,154.61017949,
688535,华海诚科,120.73801117,
603306,华懋科技,220.4316954,
002865,钧达股份,262.44789464,
603800,洪田股份,108.5968,
688545,兴福电子,164.808,
688516,奥特维,204.26348794,
688322,奥比中光-UW,394.32478792,
301536,星宸科技,295.7488922,
600667,太极实业,194.51342255,
688279,峰岹科技,253.250976,
688123,聚辰股份,243.43669278,
688249,晶合集成,781.95696598,
600744,华银电力,134.66353937,
688368,晶丰明源,126.33785972,
601669,中国电建,995.67200951,
688257,新锐股份,113.71003105,
300751,迈为股份,664.98391428,
688028,沃尔德,116.23073,
688120,华海清科,691.38964241,
002414,高德红外,767.45127861,
688361,中科飞测,742.34606244,
688270,臻镭科技,418.2568264,
001309,德明利,619.35670004,
000510,新金路,100.5242563,
603119,浙江荣泰,433.39877173,
688019,安集科技,510.03626121,
688372,伟测科技,210.16591863,
002859,洁美科技,139.40822043,
688160,步科股份,141.35307898,
001208,华菱线缆,162.3963499,
000559,万向钱潮,638.53803631,
300421,力星股份,101.85215966,
688661,和林微纳,131.61080123,
688449,联芸科技,253.46,
688503,聚和材料,205.60757973,
688347,华虹公司,2432.6598702,
301392,汇成真空,146.8,
301225,恒勃股份,159.41196,
000636,风华高科,217.98128895,
603185,弘元绿能,199.25350314,
002270,华明装备,264.74499232,
002185,华天科技,413.8779698,
600348,华阳股份,319.6245,
300304,云意电气,108.3629348,
601231,环旭电子,740.78680975,
301205,联特科技,271.7358336,
688691,灿芯股份,170.82,
688066,航天宏图,108.09061386,
300328,宜安科技,126.14039172,
001280,中国铀业,1538.72727259,
688025,杰普特,137.82166335,
605116,奥锐特,139.84888747,
688536,思瑞浦,246.38296229,
600509,天富能源,123.14600767,
