code,name,market_cap,industry
688380,中微半导,165.5509275,
300986,志特新材,139.24720355,
688352,颀中科技,198.33141964,
688209,英集芯,109.40033716,
301035,润丰股份,220.68598556,
688510,航亚科技,102.51143016,
000031,大悦城,139.30518352,
600675,中华企业,183.80251406,
600649,城投控股,128.23043932,
600986,浙文互联,148.29119398,
600403,大有能源,175.48563031,
601212,白银有色,576.83193441,
000949,新乡化纤,126.84461218,
002181,粤 传 媒,129.92240967,
002716,湖南白银,350.0629921,
002208,合肥城建,127.72341115,
000506,招金黄金,163.22842061,
601117,中国化学,536.77595564,
603737,三棵树,356.95609344,
002498,汉缆股份,175.6548288,
002931,锋龙股份,163.37682853,
002969,嘉美包装,193.50393598,
600391,航发科技,152.58579343,
600955,维远股份,113.245,
601677,明泰铝业,206.79797917,
003039,顺控发展,115.66125813,
003035,南网能源,213.25757571,
600610,中毅达,121.80392259,
300435,中泰股份,127.8252882,
000830,鲁西化工,380.1020746,
601179,中国西电,801.17541162,
688525,佰维存储,889.3253495,
600058,五矿发展,163.68076557,
000975,山金国际,909.37654179,
600021,上海电力,668.06843498,
600075,新疆天业,106.88097294,
688233,神工股份,147.45070623,
300012,华测检测,276.15210992,
603816,顾家家居,277.65061342,
002541,鸿路钢构,149.04370267,
301563,云汉芯城,123.32989151,
001914,招商积余,126.23563899,
600219,南山铝业,757.92430289,
688262,国芯科技,117.12956967,
001979,招商蛇口,895.29199458,
001280,中国铀业,1780.29090893,
688100,威胜信息,226.96187678,
301263,泰恩康,139.18023225,
603216,梦天家居,119.13915,
002271,东方雨虹,367.1431694,
601669,中国电建,1076.63495838,
603061,金海通,156.678,
605376,博迁新材,193.55784,
000981,山子高科,541.86292213,
002648,卫星化学,700.34143895,
600346,恒力石化,1882.25528278,
603650,彤程新材,396.157426,
600273,嘉化能源,148.03555585,
688167,炬光科技,170.78701131,
300972,万辰集团,400.44981464,
300063,天龙集团,103.91821955,
688766,普冉股份,319.28269337,
002156,通富微电,774.12618481,
603713,密尔克卫,101.89716124,
